SKU,Marca,Nombre,Stock,"Precio Unitarioc/Iva"
99922974,Spektra,Adaptador Mini DisplayPort a VGA,5,1.990
99922971,Spektra,Adaptador Mini HDMI a VGA,8,990
99936124,Kensington,Adaptador USB-C a USB-A,2,4.990
99924763,PCF OEM,Adaptador VGA-macho a HDMI-hembra,3,2.990
9998944,Spektra,Cable Adaptador USB a Puerto Paralelo,1,2.990
9996201,PCF OEM,Cable Adaptador USB a Puerto Paralelo,4,990
99932317,Tripp Lite,"Extensor HDMI Inalámbrico con IR, 50 metros",1,83.990
Aire Acondicionado Portátil,,,,
99935308,Kendal,Aire Acondicionado Portátil ECO II 7000 Solo Frío,1,89.990
Alarmas,,,,
99916063,Opexia,Control Remoto de Alarma,1,1.990
99918750,Opexia,Kit Alarma inalámbrica GSM compatible con Smartphone,13,34.990
99927614,Drakon,Kit Casa Segura,4,39.990
99927611,Drakon,"Kit de seguridad (1x central alarma, 2x cámaras, 10xsensores, 2x controles remoto, 2x sirenas)",1,119.990
99935201,Drakon,Kit seguridad Alarma + Sirena + Sensores,2,39.990
99927487,Gear,Sensor de Movimiento GR-M101,1,2.990
SKU,Marca,Nombre,Stock,"Precio Unitarioc/Iva"
99935750,Wirmel,Sirena / Alarma SI-100H,1,9.990
All-in-One,,,,
99941516,Asus,"All In One Vivo V222 21.5"" FullHD Intel Pentium Gold 6405U4GB 1TB + 128GB SSD Windows 10 V222FAK-BA298T",1,215.990
99943513,HP,"All in One 22"" FullHD Intel Pentium J5040 8GB 256GB SSDWindows 11 22-dd0533la",1,329.990
99939249,HP,"All in One 23,8"" FullHD Intel Core i3-1115G4 4GB 1TBWindows 10 24-df1000la",1,311.990
99948043,Gear,"All in One A2769 27"" FullHD Intel Celeron N4000 4GB 240GBSSD",1,155.990
99947487,Lenovo,"LIQ - All In One IdeaCentre A340 23.8"" FullHD Intel CeleronJ4025 4GB 1TB Windows 10",2,190.990
99948091,HP,"LIQ - All in One 21.5"" FullHD Intel Pentium J5040 4GB256SSD Windows 11 22-dd2009la",1,227.990
99948566,HP,"LIQ - All in One 23,8"" FullHD Intel Core i3-1115G4 4GB 1TBWindows 10 24-df1000la",1,305.830
99946781,HP,"LIQ - All in One 23,8"" FullHD Intel Core i3-1115G4 4GB 1TBWindows 11 24-df1000la",1,279.304
99948887,Gear,"LIQ - All in One A2769 27"" FullHD Intel Celeron N4000 4GB240GB SSD",3,142.086
99947624,Lenovo,"LIQ - All in One IdeaCentre 3 23.8"" FullHD AMD Athlon 3050U8GB 512GB SSD Windows 11",1,249.989
45945,Lenovo,"LIQ - All in One IdeaCentre A340 24"" FullHD   i3-10110U 4GB1TB  Windows 11",1,337.990
99945945,Lenovo,"LIQ - All in One IdeaCentre A340 24"" FullHD   i3-10110U 4GB1TB  Windows 11",2,275.919
99947871,Lenovo,"LIQ - All in One Ideacentre A340 23.8"" FullHD Intel PentiumJ5005 4GB 1TB Windows 11",4,227.990
46573,Dell,"LIQ - All in One Inspiron 5400 23.8"" Full HD Intel i7-1165G716GB 1TB+256GB SSD  Windows 10",1,669.990
99945395,Asus,"LIQ - All in One Zen AiO 24 A5401 23.8"" FullHD Intel Core i7-10700T 8GB 1TB + 256GB SSD MX330 2GB Windows 10A5401WRPK-BA006T",1,758.836
Antenas,,,,
99936476,YXWireless,Antena Repetidora de Señal de Celular 2G/ 3G Reply,1,59.976
99928650,YXWireless,Antena Repetidora de Señal de Celular 3G Reply,1,39.984
99925424,YXWireless,Antena Repetidora de señal Celular 3G Reply,4,39.984
99918627,YXWireless,Antena Reply de señal Celular 3G,7,39.984
Antenas TV Digital,,,,
99923539,RCA,Antena TV ANT 121,2,7.990
Artículos de Escritorio,,,,
99936630,Kensington,Apoya Pies Solemassage,1,9.990
99932490,Deepcool,Base para Monitor Standar 55x26cm,1,9.989
SKU,Marca,Nombre,Stock,"Precio Unitarioc/Iva"
Asistentes de Voz,,,,
99932090,IHome,Parlante para Alexa Echo Dot (2nd Gen),1,29.990
Aspiradoras Robot & Limpieza,,,,
99941321,iRobot,"Aspiradora Robot Roomba S9+ compatible con Alexa yGoogle assistant",1,575.990
Audio All in One,,,,
99938512,Sony,Minicomponente MHC-V13,1,189.989
99928263,Master G,Parlante Karaoke SPBT12,3,39.990
99928262,Master G,Parlante Karaoke SPBT8,3,28.990
Audífonos Call-Center,,,,
99925199,Spektra,Audifono Headset Negro c/mic,6,1.490
99925198,Spektra,Audifono Headset PC Blanco c/mic,15,1.490
99935975,Logitech,Audifono Stereo Headset H151,1,5.990
9995447,Genius,Audifonos HS-04S,1,1.990
99939452,Kensington,Audífonos Kensington Stereo USB K97601WW,1,8.990
Audífonos Gamer,,,,
99947873,Logitech,Audífono Gamer G335 Mint,1,73.990
99938017,Turtle Beach,Audífono Gamer Stealth 300 Negro/Azul,2,40.990
99939676,Corsair,Audífono Gamer Void Elite Stereo,1,34.990
Audífonos Headset,,,,
99939706,Philips,Audifono Bluetooth SHB3075 Negro,1,19.990
99931242,Panasonic,Audifono RP-HF100 Azul,1,5.990
99927669,Panasonic,Audifono RP-HF100 Negro,1,14.990
99938131,Motorola,Audífono Bluetooth Escape 220 Negro,1,8.990
99936824,Skullcandy,Audífono Bluetooth RIFF Negro,3,34.990
99921097,Panasonic,Audífono Bluetooth RP-BTD5 Negro,1,8.990
99932669,Altec Lansing,Audífono Evolution 2 Bluetooth Mint,1,19.990
99928722,Altec Lansing,Audífono Evolution 2 Bluetooth Negro,1,19.990
99939734,Vivitar,Audífono Headset Bluetooth,1,6.990
99923382,Sony,Audífono MDR-ZX110AP Negro,1,7.990
99935320,Altec Lansing,Audífono R3volution X Headphones Negro,3,8.990
99923313,Sony,Audífono reproductor MP3 Sport NW-WS413 4GB Negro,1,24.990
99946479,SoyMomo,Audífonos Para Niños Rosado,1,14.990
Audífonos In Ear,,,,
99937437,Apple,AirPods (2a generación),9,68.990
99944044,Apple,AirPods Pro con estuche de carga MagSafe,1,99.990
99925195,22N,Audifono In Ear Negro C/Mic,1,4.990
99940014,Xiaomi,Audifono Mi TWS Earbuds Basic 2,1,29.990
99924845,Philips,Audifono SHE3595 Azul,2,9.990
SKU,Marca,Nombre,Stock,"Precio Unitarioc/Iva"
99933585,Apple,Audifonos Apple Airpods 2a generación,5,69.990
99935232,Skullcandy,Audifonos Ink'd Plus Negro/Gris,3,19.990
99940863,Sennheiser,Audífono Bluetooth CX400 TWS,1,97.580
