SKU,Marca,Nombre,Stock,"Precio Unitarioc/Iva"
All-in-One,,,,
99941949,Lenovo,"All in One Ideacentre A340 23.8"" FullHD Intel Pentium J50054GB 1TB Windows 10",1,99.990
99939111,Dell,"All in One Inspiron 5400 23.8"" Full HD Intel Core i3-1115G48GB 1TB Windows 10",1,299.990
99945856,Lenovo,"LIQ - All In One IdeaCentre AIO 3 23.8"" FullHD Intel Core i3-1005G1 8GB RAM 1TB + 128GB SSD Windows 11",1,299.990
99945786,HP,"LIQ - All in One 200 G4 21,5"" FullHD Pentium J5040 4GB 1TBWindows 10",1,149.990
99946005,HP,"LIQ - All in One 21.5"" FullHD Intel Pentium J5005 4GB 1TBWindows 10 22-dd0003la",1,99.990
99943101,Asus,"LIQ - All in One Vivo 21,5"" FullHD Intel Celeron J4025 4GB1TB Windows 10  V222GAK-WA199T",3,99.990
99949849,Asus,"LIQ - All in One Vivo 21.5"" FullHD Pentium Gold 4417U 4GB1TB  Windows 10 V222UAK-BA266T",1,99.990
SKU,Marca,Nombre,Stock,"Precio Unitarioc/Iva"
99946031,Asus,"LIQ - All in One Vivo Intel Core i3-8130U 4GB 1TB 21.5""FullHD  Windows 10 V222UAK-WA021T",1,99.990
Antenas,,,,
99936476,YXWireless,Antena Repetidora de Señal de Celular 2G/ 3G Reply,1,47.981
99928650,YXWireless,Antena Repetidora de Señal de Celular 3G Reply,1,31.987
99918627,YXWireless,Antena Reply de señal Celular 3G,4,31.987
99944400,Sanny Telecom,Cúpula aislante protectora ST-P09 x2und,1,250.990
99950017,Sanny Telecom,"LIQ - Soporte para antenas de red construido en acero ST-B-UM-02 x 2und",1,7.992
Antenas TV Digital,,,,
99923540,RCA,Antena TV ANT 1400,1,2.990
Antivirus,,,,
99944604,ESET,Internet Security 2022 - 1 PC (1 año),3,8.792
Artículos de Escritorio,,,,
99932490,Deepcool,Base para Monitor Standar 55x26cm,1,9.989
99929614,Fellowes,"Base para Monitor standar plus con bandeja para accesorios43x26cm",1,9.990
Asistentes de Voz,,,,
99931459,Echo,Asistente de voz con pantalla Wifi Alexa Echo Show,1,101.592
99930024,Echo,Asistente de voz en Español Alexa Echo (2da Generación),1,51.990
99948049,Apple,HomePod - Medianoche,1,215.990
99932090,IHome,Parlante para Alexa Echo Dot (2nd Gen),1,23.992
Audífonos Call-Center,,,,
99925199,Spektra,Audifono Headset Negro c/mic,6,1.192
9995447,Genius,Audifonos HS-04S,1,1.592
9993608,Genius,Audifonos HS-05A,2,4.990
99939750,22N,Audífono call center USB + Mando en cable,1,5.990
Audífonos Headset,,,,
99936824,Skullcandy,Audífono Bluetooth RIFF Negro,1,27.992
Audífonos In Ear,,,,
99938125,Samsung,Audífonos In ear TWS Galaxy Buds Live Mystic Bronze,2,79.992
99941032,Samsung,Audífonos In ear TWS Galaxy Buds PRO Black,1,74.990
99924933,Philips,Audifono Deportivo Bluetooth SHQ6500 Azul,1,23.992
99923967,Panasonic,Audifono Deportivo RP-HS34PP Negro,2,3.992
99929678,Panasonic,Audifono In Ear Azul NJ300BE Bluetooth,2,6.392
